classname,method,docstring,annotations,method_definition
org.apache.commons.beanutils.LazyDynaClassTestCase,void testRemovePropertyNullName(),"/**
     * Test removing a property, name is null
     */",,"public void testRemovePropertyNullName() {
        try {
            dynaClass.remove(null);
            fail(""remove(null) did not throw IllegalArgumentException"");
        } catch (final IllegalArgumentException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testRemovePropertyRestricted(),"/**
     * Test removing a property, DynaClass is restricted
     */",,"public void testRemovePropertyRestricted() {
        dynaClass.add(testProperty);
        assertTrue(""Property exists"", dynaClass.isDynaProperty(testProperty));
        dynaClass.setRestricted(true);
        assertTrue(""MutableDynaClass is restricted"", dynaClass.isRestricted());
        try {
            dynaClass.remove(testProperty);
            fail(""remove property when MutableDynaClassis restricted did not throw IllegalStateException"");
        } catch (final IllegalStateException expected) {
            // expected result
        }
    }"
org.apache.commons.beanutils.LazyDynaClassTestCase,void testRemovePropertyDoesntExist(),"/**
     * Test removing a property which doesn't exist
     */",,"public void testRemovePropertyDoesntExist() {
        assertFalse(""property doesn't exist"", dynaClass.isDynaProperty(testProperty));
        dynaClass.remove(testProperty);
        assertFalse(""property still doesn't exist"", dynaClass.isDynaProperty(testProperty));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Before
    public void setUp() {

        // BeanUtils
        beanUtilsBean = new BeanUtilsBean();
        propertyUtilsBean = beanUtilsBean.getPropertyUtils();

        // initialize Arrays and Lists
        testArray= new String[] {""array-0"", ""array-1"", ""array-2""};
        newArray = new String[]  {""newArray-0"", ""newArray-1"", ""newArray-2""};

        testList = new ArrayList<String>();
        testList.add(""list-0"");
        testList.add(""list-1"");
        testList.add(""list-2"");

        newList = new ArrayList<Object>();
        newList.add(""newList-0"");
        newList.add(""newList-1"");
        newList.add(""newList-2"");

        arrayList = new ArrayList<Object>();
        arrayList.add(""arrayList-0"");
        arrayList.add(""arrayList-1"");
        arrayList.add(""arrayList-2"");

        // initialize Test Bean  properties
        bean = new IndexedTestBean();
        bean.setStringArray(testArray);
        bean.setStringList(testList);
        bean.setArrayList(arrayList);
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@After
    public void tearDown() {
        bean = null;
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayIndexedPropertyDescriptor(),"/**
     * Test IndexedPropertyDescriptor for an Array
     */",,"@Test
    public void testArrayIndexedPropertyDescriptor() throws Exception {
        final PropertyDescriptor descriptor = propertyUtilsBean.getPropertyDescriptor(bean, ""stringArray"");
        assertNotNull(""No Array Descriptor"", descriptor);
        assertEquals(""Not IndexedPropertyDescriptor"",IndexedPropertyDescriptor.class,descriptor.getClass());
        assertEquals(""PropertDescriptor Type invalid"",testArray.getClass(),descriptor.getPropertyType());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testListIndexedPropertyDescriptor(),"/**
     * Test IndexedPropertyDescriptor for a List
     */",,"@Test
    public void testListIndexedPropertyDescriptor() throws Exception {
        final PropertyDescriptor descriptor = propertyUtilsBean.getPropertyDescriptor(bean, ""stringList"");
        assertNotNull(""No List Descriptor"", descriptor);
        if (Jira492IndexedListsSupport.supportsIndexedLists()) {
            // BEANUTILS-492 - can't assume lists are handled as arrays in Java 8+
            assertEquals(""Not IndexedPropertyDescriptor"",IndexedPropertyDescriptor.class,descriptor.getClass());
        }
        assertEquals(""PropertDescriptor Type invalid"",List.class,descriptor.getPropertyType());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayListIndexedPropertyDescriptor(),"/**
     * Test IndexedPropertyDescriptor for an ArrayList
     */",,"@Test
    public void testArrayListIndexedPropertyDescriptor() throws Exception {
        final PropertyDescriptor descriptor = propertyUtilsBean.getPropertyDescriptor(bean, ""arrayList"");
        assertNotNull(""No ArrayList Descriptor"", descriptor);
        if (Jira492IndexedListsSupport.supportsIndexedLists()) {
            assertEquals(""Not IndexedPropertyDescriptor"",IndexedPropertyDescriptor.class,descriptor.getClass());
        }
        assertEquals(""PropertDescriptor Type invalid"",ArrayList.class,descriptor.getPropertyType());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayReadMethod(),"/**
     * Test Read Method for an Array
     */",,"@Test
    public void testArrayReadMethod() throws Exception {
        final PropertyDescriptor descriptor =
             (PropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringArray"");
        assertNotNull(""No Array Read Method"", descriptor.getReadMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayWriteMethod(),"/**
     * Test Write Method for an Array
     */",,"@Test
    public void testArrayWriteMethod() throws Exception {
        final PropertyDescriptor descriptor =
             (PropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringArray"");
        assertNotNull(""No Array Write Method"", descriptor.getWriteMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayIndexedReadMethod(),"/**
     * Test Indexed Read Method for an Array
     */",,"@Test
    public void testArrayIndexedReadMethod() throws Exception {
        final IndexedPropertyDescriptor descriptor =
             (IndexedPropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringArray"");
        assertNotNull(""No Array Indexed Read Method"", descriptor.getIndexedReadMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayIndexedWriteMethod(),"/**
     * Test Indexed Write Method for an Array
     */",,"@Test
    public void testArrayIndexedWriteMethod() throws Exception {
        final IndexedPropertyDescriptor descriptor =
             (IndexedPropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringArray"");
        assertNotNull(""No Array Indexed Write Method"", descriptor.getIndexedWriteMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testListReadMethod(),"/**
     * Test Read Method for a List
     *
     * JDK 1.3.1_04: Test Passes
     * JDK 1.4.2_05: Test Fails - getter which returns java.util.List not returned
     *                            by IndexedPropertyDescriptor.getReadMethod();
     */",,"@Test
    public void testListReadMethod() throws Exception {
        final PropertyDescriptor descriptor =
             (PropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringList"");
        assertNotNull(""No List Read Method"", descriptor.getReadMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testListWriteMethod(),"/**
     * Test Write Method for a List
     *
     * JDK 1.3.1_04: Test Passes
     * JDK 1.4.2_05: Test Fails - setter whith java.util.List argument not returned
     *                            by IndexedPropertyDescriptor.getWriteMethod();
     */",,"@Test
    public void testListWriteMethod() throws Exception {
        final PropertyDescriptor descriptor =
             (PropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""stringList"");
        assertNotNull(""No List Write Method"", descriptor.getWriteMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testListIndexedReadMethod(),"/**
     * Test Indexed Read Method for a List
     */",,"@Test
    public void testListIndexedReadMethod() throws Exception {
        final PropertyDescriptor descriptor = propertyUtilsBean.getPropertyDescriptor(bean, ""stringList"");
        assertNotNull(""stringList descriptor not found"", descriptor);
        assumeTrue(""JDK does not support index bean properties on java.util.List"",
                Jira492IndexedListsSupport.supportsIndexedLists());
        assertNotNull(""No List Indexed Read Method"",  ((IndexedPropertyDescriptor)descriptor).getIndexedReadMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testListIndexedWriteMethod(),"/**
     * Test Indexed Write Method for a List
     */",,"@Test
    public void testListIndexedWriteMethod() throws Exception {
        final PropertyDescriptor descriptor = propertyUtilsBean.getPropertyDescriptor(bean, ""stringList"");
        assertNotNull(""stringList descriptor not found"", descriptor);
        assumeTrue(""JDK does not support index bean properties on java.util.List"",
                Jira492IndexedListsSupport.supportsIndexedLists());
        assertNotNull(""No List Indexed Write Method"", ((IndexedPropertyDescriptor)descriptor).getIndexedWriteMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayListReadMethod(),"/**
     * Test Read Method for an ArrayList
     */",,"@Test
    public void testArrayListReadMethod() throws Exception {
        final PropertyDescriptor descriptor =
             (PropertyDescriptor)propertyUtilsBean.getPropertyDescriptor(bean, ""arrayList"");
        assertNotNull(""No ArrayList Read Method"", descriptor.getReadMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testArrayListWriteMethod(),"/**
     * Test Write Method for an ArrayList
     */",,"@Test
    public void testArrayListWriteMethod() throws Exception {
        final PropertyDescriptor descriptor =
             propertyUtilsBean.getPropertyDescriptor(bean, ""arrayList"");
        assertNotNull(""No ArrayList Write Method"", descriptor.getWriteMethod());
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetArray(),"/**
     * Test getting an array property
     */",,"@Test
    public void testGetArray() throws Exception {
        assertEquals(testArray,propertyUtilsBean.getProperty(bean,""stringArray""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetArrayAsString(),"/**
     * Test getting an array property as a String
     *
     * NOTE: Why does retrieving array just return the first element in the array, whereas
     *       retrieveing a List returns a comma separated list of all the elements?
     */",,"@Test
    public void testGetArrayAsString() throws Exception {
        assertEquals(""array-0"",beanUtilsBean.getProperty(bean,""stringArray""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetArrayItemA(),"/**
     * Test getting an indexed item of an Array using getProperty(""name[x]"")
     */",,"@Test
    public void testGetArrayItemA() throws Exception {
        assertEquals(""array-1"",beanUtilsBean.getProperty(bean,""stringArray[1]""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetArrayItemB(),"/**
     * Test getting an indexed item of an Array using getIndexedProperty(""name"")
     */",,"@Test
    public void testGetArrayItemB() throws Exception {
        assertEquals(""array-1"",beanUtilsBean.getIndexedProperty(bean,""stringArray"",1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetList(),"/**
     * Test getting a List
     *
     * JDK 1.3.1_04: Test Passes
     * JDK 1.4.2_05: Test Fails - fails NoSuchMethodException, i.e. reason as testListReadMethod()
     *                            failed.
     */",,"@Test
    public void testGetList() throws Exception {
        assertEquals(testList,propertyUtilsBean.getProperty(bean,""stringList""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetListAsString(),"/**
     * Test getting a List property as a String
     *
     * JDK 1.3.1_04: Test Passes
     * JDK 1.4.2_05: Test Fails - fails NoSuchMethodException, i.e. reason as testListReadMethod()
     *                            failed.
     */",,"@Test
    public void testGetListAsString() throws Exception {
        assertEquals(""list-0"",beanUtilsBean.getProperty(bean,""stringList""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetListItemA(),"/**
     * Test getting an indexed item of a List using getProperty(""name[x]"")
     */",,"@Test
    public void testGetListItemA() throws Exception {
        assertEquals(""list-1"",beanUtilsBean.getProperty(bean,""stringList[1]""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetListItemB(),"/**
     * Test getting an indexed item of a List using getIndexedProperty(""name"")
     */",,"@Test
    public void testGetListItemB() throws Exception {
        assertEquals(""list-1"",beanUtilsBean.getIndexedProperty(bean,""stringList"",1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetArray(),"/**
     * Test setting an Array property
     *
     * JDK 1.3.1_04 and 1.4.2_05: Test Fails - IllegalArgumentException can't invoke setter, argument type mismatch
     *
     * Fails because of a bug in BeanUtilsBean.setProperty() method. Value is always converted to the array's component
     * type which in this case is a String. Then it calls the setStringArray(String[]) passing a String rather than
     * String[] causing this exception. If there isn't an ""index"" value then the PropertyType (rather than
     * IndexedPropertyType) should be used.
     *
     */",,"@Test
    public void testSetArray() throws Exception {
        beanUtilsBean.setProperty(bean, ""stringArray"", newArray);
        final Object value = bean.getStringArray();
        assertEquals(""Type is different"", newArray.getClass(), value.getClass());
        final String[] array = (String[])value;
        assertEquals(""Array Length is different"", newArray.length, array.length);
        for (int i = 0; i < array.length; i++) {
            assertEquals(""Element "" + i + "" is different"", newArray[i], array[i]);
        }
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetArrayItemA(),"/**
     * Test setting an indexed item of an Array using setProperty(""name[x]"", value)
     */",,"@Test
    public void testSetArrayItemA() throws Exception {
        beanUtilsBean.setProperty(bean, ""stringArray[1]"", ""modified-1"");
        assertEquals(""modified-1"", bean.getStringArray(1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetArrayItemB(),"/**
     * Test setting an indexed item of an Array using setIndexedProperty(""name"", value)
     */",,"@Test
    public void testSetArrayItemB() throws Exception {
        propertyUtilsBean.setIndexedProperty(bean, ""stringArray"", 1, ""modified-1"");
        assertEquals(""modified-1"", bean.getStringArray(1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetList(),"/**
     * Test setting a List property
     *
     * JDK 1.3.1_04: Test Passes
     * JDK 1.4.2_05: Test Fails - setter which returns java.util.List not returned
     *                            by IndexedPropertyDescriptor.getWriteMethod() - therefore
     *                            setProperty does nothing and values remain unchanged.
     */",,"@Test
    public void testSetList() throws Exception {
        beanUtilsBean.setProperty(bean, ""stringList"", newList);
        final Object value = bean.getStringList();
        assertEquals(""Type is different"", newList.getClass(), value.getClass());
        final List<?> list  = (List<?>)value;
        assertEquals(""List size is different"", newList.size(), list.size());
        for (int i = 0; i < list.size(); i++) {
            assertEquals(""Element "" + i + "" is different"", newList.get(i), list.get(i));
        }
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetListItemA(),"/**
     * Test setting an indexed item of a List using setProperty(""name[x]"", value)
     */",,"@Test
    public void testSetListItemA() throws Exception {
        beanUtilsBean.setProperty(bean, ""stringList[1]"", ""modified-1"");
        assertEquals(""modified-1"", bean.getStringList(1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetListItemB(),"/**
     * Test setting an indexed item of a List using setIndexedProperty(""name"", value)
     */",,"@Test
    public void testSetListItemB() throws Exception {
        propertyUtilsBean.setIndexedProperty(bean, ""stringList"", 1, ""modified-1"");
        assertEquals(""modified-1"", bean.getStringList(1));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testGetArrayList(),"/**
     * Test getting an ArrayList
     */",,"@Test
    public void testGetArrayList() throws Exception {
        assertEquals(arrayList,propertyUtilsBean.getProperty(bean,""arrayList""));
    }"
org.apache.commons.beanutils.IndexedPropertyTestCase,void testSetArrayList(),"/**
     * Test setting an ArrayList property
     */",,"@Test
    public void testSetArrayList() throws Exception {
        beanUtilsBean.setProperty(bean, ""arrayList"", newList);
        final Object value = bean.getArrayList();
        assertEquals(""Type is different"", newList.getClass(), value.getClass());
        final List<?> list  = (List<?>)value;
        assertEquals(""List size is different"", newList.size(), list.size());
        for (int i = 0; i < list.size(); i++) {
            assertEquals(""Element "" + i + "" is different"", newList.get(i), list.get(i));
        }
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() {
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {
        return (new TestSuite(MethodUtilsTestCase.class));
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testGetAccessibleMethod(),"/**
     * <p> Test <code>getAccessibleMethod</code>.
     */",,"public void testGetAccessibleMethod() {
        // easy bit first - find a public method
        final Method method = MethodUtils.getAccessibleMethod
                (TestBean.class, ""setStringProperty"", String.class);

        assertMethod(method, ""setStringProperty"");
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testGetAccessibleMethodFromInterface(),,,"public void testGetAccessibleMethodFromInterface() {
        Method method;
        // trickier this one - find a method in a direct interface
        method = MethodUtils.getAccessibleMethod
                (PrivateBeanFactory.create().getClass(),
                        ""methodBar"",
                        String.class);

        assertMethod(method, ""methodBar"");
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testGetAccessibleMethodIndirectInterface(),,,"public void testGetAccessibleMethodIndirectInterface() {
        Method method;
        // trickier this one - find a method in a indirect interface
        method = MethodUtils.getAccessibleMethod
                (PrivateBeanFactory.createSubclass().getClass(),
                        ""methodBaz"",
                        String.class);

        assertMethod(method, ""methodBaz"");
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,"void assertMethod(final Method method, final String methodName)",,,"private static void assertMethod(final Method method, final String methodName) {
        assertNotNull(method);
        assertEquals(""Method is not named correctly"",methodName,method.getName());
        assertTrue(""Method is not public"",Modifier.isPublic(method.getModifiers()));
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethod(),"/**
     * <p> Test <code>invokeExactMethod</code>.
     */",,"public void testInvokeExactMethod() throws Exception {
            final TestBean bean = new TestBean();
            final Object ret = MethodUtils.invokeExactMethod(bean, ""setStringProperty"", ""TEST"");

            assertNull(ret);
            assertEquals(""Method ONE was invoked"", ""TEST"", bean.getStringProperty());
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethodFromInterface(),,,"public void testInvokeExactMethodFromInterface() throws Exception {
        final Object ret = MethodUtils.invokeExactMethod(
                PrivateBeanFactory.create(),
                ""methodBar"",
                ""ANOTHER TEST"");

        assertEquals(""Method TWO wasn't invoked correctly"", ""ANOTHER TEST"", ret);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethodIndirectInterface(),,,"public void testInvokeExactMethodIndirectInterface() throws Exception {
        final Object ret = MethodUtils.invokeExactMethod(
                PrivateBeanFactory.createSubclass(),
                ""methodBaz"",
                ""YET ANOTHER TEST"");

        assertEquals(""Method TWO was invoked correctly"", ""YET ANOTHER TEST"", ret);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethodNullArray(),,,"public void testInvokeExactMethodNullArray() throws Exception {
        final Object result = MethodUtils.invokeExactMethod(
                new AlphaBean(""parent""),
                ""getName"",
                null);
        assertEquals(""parent"", result);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethodNullArrayNullArray(),,,"public void testInvokeExactMethodNullArrayNullArray() throws Exception {
        final Object result = MethodUtils.invokeExactMethod(
                new AlphaBean(""parent""),
                ""getName"",
                null,
                null);

        assertEquals(""parent"", result);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeExactMethodNull(),,,"public void testInvokeExactMethodNull() throws Exception {
        final Object object = new Object();
        final Object result = MethodUtils.invokeExactMethod(object, ""toString"", (Object) null);
        assertEquals(object.toString(), result);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethod(),"/**
     * <p> Test <code>invokeMethod</code>.
     */",,"public void testInvokeMethod() throws Exception {
        final AbstractParent parent = new AlphaBean(""parent"");
        final BetaBean childOne = new BetaBean(""ChildOne"");

        assertEquals(""Cannot invoke through abstract class(1)"",""ChildOne"",MethodUtils.invokeMethod(parent,""testAddChild"",childOne));
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodObject(),,,"public void testInvokeMethodObject() throws Exception {
        final AbstractParent parent = new AlphaBean(""parent"");
        final Child childTwo = new AlphaBean(""ChildTwo"");

        assertEquals(""Cannot invoke through interface(1)"",""ChildTwo"",MethodUtils.invokeMethod(parent,""testAddChild"",childTwo));
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodArray(),,,"public void testInvokeMethodArray() throws Exception {
        final AbstractParent parent = new AlphaBean(""parent"");
        final AlphaBean childTwo = new AlphaBean(""ChildTwo"");

        final Object[] params = new Object[2];
        params[0] = ""parameter"";
        params[1] = childTwo;

        assertEquals(""Cannot invoke through abstract class"",""ChildTwo"",MethodUtils.invokeMethod(parent,""testAddChild2"",params));
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodUnknown(),,,"public void testInvokeMethodUnknown() throws Exception {
        // test that exception is correctly thrown when a method cannot be found with matching params
        try {
            final AbstractParent parent = new AlphaBean(""parent"");
            final BetaBean childOne = new BetaBean(""ChildOne"");
            MethodUtils.invokeMethod(parent, ""bogus"", childOne);

            fail(""No exception thrown when no appropriate method exists"");
        } catch (final NoSuchMethodException expected) {
            // this is what we're expecting!
        }
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodNullArray(),,,"public void testInvokeMethodNullArray() throws Exception {
        final Object result = MethodUtils.invokeMethod(
                new AlphaBean(""parent""),
                ""getName"",
                null);

        assertEquals(""parent"", result);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodNullArrayNullArray(),,,"public void testInvokeMethodNullArrayNullArray() throws Exception {
        final Object result = MethodUtils.invokeMethod(
                new AlphaBean(""parent""),
                ""getName"",
                null,
                null);

        assertEquals(""parent"", result);
    }"
org.apache.commons.beanutils.MethodUtilsTestCase,void testInvokeMethodNull(),,,"public void testInvokeMethodNull() throws Exception {
        final Object object = new Object();
        final Object result = MethodUtils.invokeMethod(object, ""toString"", (Object) null);
        assertEquals(object.toString(), result);
    }"
