focal_method,test_prefix,docstring
"    public String toString() {
        StringBuilder results = new StringBuilder();

        results.append(""FormSet: language="");
        results.append(language);
        results.append(""  country="");
        results.append(country);
        results.append(""  variant="");
        results.append(variant);
        results.append(""\n"");

        for (Iterator<?> i = getForms().values().iterator(); i.hasNext(); ) {
            results.append(""   "");
            results.append(i.next());
            results.append(""\n"");
        }

        return results.toString();
    }","  public void test11()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      form0.lFields = null;
      formSet0.addForm(form0);
      // Undeclared exception!
      try { 
        formSet0.toString();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.validator.Form"", e);
      }
  }","/**
     * Returns a string representation of the object.
     *
     * @return   A string representation
     */"
"    synchronized void process(Map<String, String> globalConstants) {
        for (Iterator<Form> i = forms.values().iterator(); i.hasNext(); ) {
            Form f = i.next();
            f.process(globalConstants, constants, forms);
        }

        processed = true;
    }","  public void test12()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      form0.setName(""sUb"");
      form0.inherit = ""sUb"";
      formSet0.addForm(form0);
      HashMap<String, String> hashMap0 = new HashMap<String, String>();
      // Undeclared exception!
      try { 
        formSet0.process(hashMap0);
        fail(""Expecting exception: StackOverflowError"");
      } catch(StackOverflowError e) {
         //
         // no message in exception (getMessage() returned null)
         //
      }
  }","/**
     * Processes all of the <code>Form</code>s.
     *
     * @param globalConstants  Global constants
     */"
"    synchronized void process(Map<String, String> globalConstants) {
        for (Iterator<Form> i = forms.values().iterator(); i.hasNext(); ) {
            Form f = i.next();
            f.process(globalConstants, constants, forms);
        }

        processed = true;
    }","  public void test13()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      form0.lFields = null;
      formSet0.addForm(form0);
      HashMap<String, String> hashMap0 = new HashMap<String, String>();
      // Undeclared exception!
      try { 
        formSet0.process(hashMap0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
      }
  }","/**
     * Processes all of the <code>Form</code>s.
     *
     * @param globalConstants  Global constants
     */"
"    protected void merge(FormSet depends) {
        if (depends != null) {
            Map<String, Form> pForms = getForms();
            Map<String, Form> dForms = depends.getForms();
            for (Iterator<Entry<String, Form>> it = dForms.entrySet().iterator(); it.hasNext(); ) {
                Entry<String, Form> entry = it.next();
                String key = entry.getKey();
                Form pForm = pForms.get(key);
                if (pForm != null) {//merge, but principal 'rules', don't overwrite
                    // anything
                    pForm.merge(entry.getValue());
                }
                else {//just add
                    addForm(entry.getValue());
                }
            }
        }
        merged = true;
    }","  public void test14()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      formSet0.addForm(form0);
      Field field0 = new Field();
      form0.addField(field0);
      // Undeclared exception!
      try { 
        formSet0.merge(formSet0);
        fail(""Expecting exception: ConcurrentModificationException"");
      } catch(ConcurrentModificationException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.util.ArrayList$Itr"", e);
      }
  }","/**
     * Merges the given <code>FormSet</code> into this one. If any of <code>depends</code>
     * s <code>Forms</code> are not in this <code>FormSet</code> then, include
     * them, else merge both <code>Forms</code>. Theoretically we should only
     * merge a ""parent"" formSet.
     *
     * @param depends  FormSet to be merged
     * @since          Validator 1.2.0
     */"
"    protected void merge(FormSet depends) {
        if (depends != null) {
            Map<String, Form> pForms = getForms();
            Map<String, Form> dForms = depends.getForms();
            for (Iterator<Entry<String, Form>> it = dForms.entrySet().iterator(); it.hasNext(); ) {
                Entry<String, Form> entry = it.next();
                String key = entry.getKey();
                Form pForm = pForms.get(key);
                if (pForm != null) {//merge, but principal 'rules', don't overwrite
                    // anything
                    pForm.merge(entry.getValue());
                }
                else {//just add
                    addForm(entry.getValue());
                }
            }
        }
        merged = true;
    }","  public void test15()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      List<Field> list0 = form0.getFields();
      form0.lFields = list0;
      formSet0.addForm(form0);
      // Undeclared exception!
      try { 
        formSet0.merge(formSet0);
        fail(""Expecting exception: UnsupportedOperationException"");
      } catch(UnsupportedOperationException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.util.Collections$UnmodifiableList"", e);
      }
  }","/**
     * Merges the given <code>FormSet</code> into this one. If any of <code>depends</code>
     * s <code>Forms</code> are not in this <code>FormSet</code> then, include
     * them, else merge both <code>Forms</code>. Theoretically we should only
     * merge a ""parent"" formSet.
     *
     * @param depends  FormSet to be merged
     * @since          Validator 1.2.0
     */"
"    protected void merge(FormSet depends) {
        if (depends != null) {
            Map<String, Form> pForms = getForms();
            Map<String, Form> dForms = depends.getForms();
            for (Iterator<Entry<String, Form>> it = dForms.entrySet().iterator(); it.hasNext(); ) {
                Entry<String, Form> entry = it.next();
                String key = entry.getKey();
                Form pForm = pForms.get(key);
                if (pForm != null) {//merge, but principal 'rules', don't overwrite
                    // anything
                    pForm.merge(entry.getValue());
                }
                else {//just add
                    addForm(entry.getValue());
                }
            }
        }
        merged = true;
    }","  public void test16()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      formSet0.addForm(form0);
      form0.lFields = null;
      // Undeclared exception!
      try { 
        formSet0.merge(formSet0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.util.Collections$UnmodifiableCollection"", e);
      }
  }","/**
     * Merges the given <code>FormSet</code> into this one. If any of <code>depends</code>
     * s <code>Forms</code> are not in this <code>FormSet</code> then, include
     * them, else merge both <code>Forms</code>. Theoretically we should only
     * merge a ""parent"" formSet.
     *
     * @param depends  FormSet to be merged
     * @since          Validator 1.2.0
     */"
"    public void addForm(Form f) {

        String formName = f.getName();
        if (forms.containsKey(formName)) {
            getLog().error(""Form '"" + formName + ""' already exists in FormSet[""
                      + this.displayKey() + ""] - ignoring."");

        } else {
            forms.put(f.getName(), f);
        }

    }","  public void test17()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      // Undeclared exception!
      try { 
        formSet0.addForm((Form) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.validator.FormSet"", e);
      }
  }","/**
     * Add a <code>Form</code> to the <code>FormSet</code>.
     *
     * @param f  The form
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test18()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""se{'|T`Ia_^G"");
      formSet0.setCountry(""se{'|T`Ia_^G"");
      String string0 = formSet0.displayKey();
      assertEquals(""language=se{'|T`Ia_^G, country=se{'|T`Ia_^G"", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test19()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""se{'|T`Ia_^G"");
      formSet0.setCountry(""se{'|T`Ia_^G"");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test20()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setCountry(""Arg: name="");
      String string0 = formSet0.displayKey();
      assertEquals(""country=Arg: name="", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test21()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setCountry(""Arg: name="");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test22()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.getCountry();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test23()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.getVariant();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test24()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.getLanguage();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test25()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      formSet0.addForm(form0);
      String string0 = formSet0.toString();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public String toString() {
        StringBuilder results = new StringBuilder();

        results.append(""FormSet: language="");
        results.append(language);
        results.append(""  country="");
        results.append(country);
        results.append(""  variant="");
        results.append(variant);
        results.append(""\n"");

        for (Iterator<?> i = getForms().values().iterator(); i.hasNext(); ) {
            results.append(""   "");
            results.append(i.next());
            results.append(""\n"");
        }

        return results.toString();
    }","  public void test26()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      Form form0 = new Form();
      formSet0.addForm(form0);
      String string0 = formSet0.toString();
      assertEquals(""FormSet: language=null  country=null  variant=null\n   Form: null\n\n"", string0);
}","/**
     * Returns a string representation of the object.
     *
     * @return   A string representation
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test27()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""Tg5TaeY0"");
      formSet0.setVariant(""Tg5TaeY0"");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test28()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""Tg5TaeY0"");
      formSet0.setVariant(""Tg5TaeY0"");
      String string0 = formSet0.displayKey();
      assertEquals(""language=Tg5TaeY0, variant=Tg5TaeY0"", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test29()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setVariant(""Tg5TaeY0"");
      String string0 = formSet0.displayKey();
      assertEquals(""variant=Tg5TaeY0"", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test30()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setVariant(""Tg5TaeY0"");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test31()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("" u: "");
      Form form0 = new Form();
      formSet0.addForm(form0);
      formSet0.setCountry("" u: "");
      formSet0.addForm(form0);
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test32()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setCountry("""");
      String string0 = formSet0.displayKey();
      assertEquals(""default"", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test33()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setCountry("""");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test34()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("""");
      String string0 = formSet0.displayKey();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public String displayKey() {
        StringBuilder results = new StringBuilder();
        if (language != null && language.length() > 0) {
            results.append(""language="");
            results.append(language);
        }
        if (country != null && country.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""country="");
            results.append(country);
        }
        if (variant != null && variant.length() > 0) {
            if (results.length() > 0) {
               results.append("", "");
            }
            results.append(""variant="");
            results.append(variant );
        }
        if (results.length() == 0) {
           results.append(""default"");
        }

        return results.toString();
    }","  public void test35()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("""");
      String string0 = formSet0.displayKey();
      assertEquals(""default"", string0);
}","/**
     * Returns a string representation of the object's key.
     *
     * @return   A string representation of the key
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test36()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test37()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      HashMap<String, String> hashMap0 = new HashMap<String, String>();
      formSet0.process(hashMap0);
      boolean boolean0 = formSet0.isProcessed();
      assertTrue(boolean0);
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test38()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      FormSet formSet1 = new FormSet();
      Form form0 = new Form();
      formSet0.addForm(form0);
      formSet1.merge(formSet0);
      assertFalse(formSet1.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    protected boolean isMerged() {
        return merged;
    }","  public void test39()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.merge((FormSet) null);
      boolean boolean0 = formSet0.isMerged();
      assertTrue(boolean0);
}","/**
     * Has this formSet been merged?
     *
     * @return   true if it has been merged
     * @since    Validator 1.2.0
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test40()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.merge((FormSet) null);
      boolean boolean0 = formSet0.isMerged();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test41()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("" u: "");
      int int0 = formSet0.getType();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    protected int getType() {
        if (getVariant() != null) {
            if (getLanguage() == null || getCountry() == null) {
                throw new NullPointerException(
                    ""When variant is specified, country and language must be specified."");
            }
            return VARIANT_FORMSET;
        }
        else if (getCountry() != null) {
            if (getLanguage() == null) {
                throw new NullPointerException(
                    ""When country is specified, language must be specified."");
            }
            return COUNTRY_FORMSET;
        }
        else if (getLanguage() != null) {
            return LANGUAGE_FORMSET;
        }
        else {
            return GLOBAL_FORMSET;
        }
    }","  public void test42()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("" u: "");
      int int0 = formSet0.getType();
      assertEquals(2, int0);
}","/**
     * Returns the type of <code>FormSet</code>:<code>GLOBAL_FORMSET</code>,
     * <code>LANGUAGE_FORMSET</code>,<code>COUNTRY_FORMSET</code> or <code>VARIANT_FORMSET</code>
     * .
     *
     * @return                       The type value
     * @since                        Validator 1.2.0
     * @throws NullPointerException  if there is inconsistency in the locale
     *      definition (not sure about this)
     */"
"    protected int getType() {
        if (getVariant() != null) {
            if (getLanguage() == null || getCountry() == null) {
                throw new NullPointerException(
                    ""When variant is specified, country and language must be specified."");
            }
            return VARIANT_FORMSET;
        }
        else if (getCountry() != null) {
            if (getLanguage() == null) {
                throw new NullPointerException(
                    ""When country is specified, language must be specified."");
            }
            return COUNTRY_FORMSET;
        }
        else if (getLanguage() != null) {
            return LANGUAGE_FORMSET;
        }
        else {
            return GLOBAL_FORMSET;
        }
    }","  public void test43()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("" u: "");
      formSet0.setCountry("" u: "");
      int int0 = formSet0.getType();
      assertEquals(3, int0);
}","/**
     * Returns the type of <code>FormSet</code>:<code>GLOBAL_FORMSET</code>,
     * <code>LANGUAGE_FORMSET</code>,<code>COUNTRY_FORMSET</code> or <code>VARIANT_FORMSET</code>
     * .
     *
     * @return                       The type value
     * @since                        Validator 1.2.0
     * @throws NullPointerException  if there is inconsistency in the locale
     *      definition (not sure about this)
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test44()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage("" u: "");
      formSet0.setCountry("" u: "");
      int int0 = formSet0.getType();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    protected int getType() {
        if (getVariant() != null) {
            if (getLanguage() == null || getCountry() == null) {
                throw new NullPointerException(
                    ""When variant is specified, country and language must be specified."");
            }
            return VARIANT_FORMSET;
        }
        else if (getCountry() != null) {
            if (getLanguage() == null) {
                throw new NullPointerException(
                    ""When country is specified, language must be specified."");
            }
            return COUNTRY_FORMSET;
        }
        else if (getLanguage() != null) {
            return LANGUAGE_FORMSET;
        }
        else {
            return GLOBAL_FORMSET;
        }
    }","  public void test45()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""Vc\""E[q(2OQCxwQU&'nxV"");
      formSet0.setVariant(""Vc\""E[q(2OQCxwQU&'nxV"");
      formSet0.setCountry("""");
      int int0 = formSet0.getType();
      assertEquals(4, int0);
}","/**
     * Returns the type of <code>FormSet</code>:<code>GLOBAL_FORMSET</code>,
     * <code>LANGUAGE_FORMSET</code>,<code>COUNTRY_FORMSET</code> or <code>VARIANT_FORMSET</code>
     * .
     *
     * @return                       The type value
     * @since                        Validator 1.2.0
     * @throws NullPointerException  if there is inconsistency in the locale
     *      definition (not sure about this)
     */"
"    public boolean isProcessed() {
        return processed;
    }","  public void test46()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setLanguage(""Vc\""E[q(2OQCxwQU&'nxV"");
      formSet0.setVariant(""Vc\""E[q(2OQCxwQU&'nxV"");
      formSet0.setCountry("""");
      int int0 = formSet0.getType();
      assertFalse(formSet0.isProcessed());
}","/**
     * Whether or not the this <code>FormSet</code> was processed for replacing
     * variables in strings with their values.
     *
     * @return   The processed value
     */"
"    protected int getType() {
        if (getVariant() != null) {
            if (getLanguage() == null || getCountry() == null) {
                throw new NullPointerException(
                    ""When variant is specified, country and language must be specified."");
            }
            return VARIANT_FORMSET;
        }
        else if (getCountry() != null) {
            if (getLanguage() == null) {
                throw new NullPointerException(
                    ""When country is specified, language must be specified."");
            }
            return COUNTRY_FORMSET;
        }
        else if (getLanguage() != null) {
            return LANGUAGE_FORMSET;
        }
        else {
            return GLOBAL_FORMSET;
        }
    }","  public void test47()  throws Throwable  {
      FormSet formSet0 = new FormSet();
      formSet0.setVariant("" u: "");
      // Undeclared exception!
      try { 
        formSet0.getType();
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // When variant is specified, country and language must be specified.
         //
         verifyException(""org.apache.commons.validator.FormSet"", e);
      }
  }","/**
     * Returns the type of <code>FormSet</code>:<code>GLOBAL_FORMSET</code>,
     * <code>LANGUAGE_FORMSET</code>,<code>COUNTRY_FORMSET</code> or <code>VARIANT_FORMSET</code>
     * .
     *
     * @return                       The type value
     * @since                        Validator 1.2.0
     * @throws NullPointerException  if there is inconsistency in the locale
     *      definition (not sure about this)
     */"
