classname,method,docstring,method_definition
org.jsoup.Connection,maxBodySize(int bytes),"/**
     * Set the maximum bytes to read from the (uncompressed) connection into the body, before the connection is closed,
     * and the input truncated (i.e. the body content will be trimmed). <b>The default maximum is 2MB</b>. A max size of
     * <code>0</code> is treated as an infinite amount (bounded only by your patience and the memory available on your
     * machine).
     *
     * @param bytes number of bytes to read from the input before truncating
     * @return this Connection, for chaining
     */",Connection maxBodySize(int bytes);
org.jsoup.Connection,referrer(String referrer),"/**
     * Set the request referrer (aka ""referer"") header.
     * @param referrer referrer to use
     * @return this Connection, for chaining
     */",Connection referrer(String referrer);
org.jsoup.Connection,followRedirects(boolean followRedirects),"/**
     * Configures the connection to (not) follow server redirects. By default this is <b>true</b>.
     * @param followRedirects true if server redirects should be followed.
     * @return this Connection, for chaining
     */",Connection followRedirects(boolean followRedirects);
org.jsoup.Connection,method(Method method),"/**
     * Set the request method to use, GET or POST. Default is GET.
     * @param method HTTP request method
     * @return this Connection, for chaining
     */",Connection method(Method method);
org.jsoup.Connection,ignoreHttpErrors(boolean ignoreHttpErrors),"/**
     * Configures the connection to not throw exceptions when a HTTP error occurs. (4xx - 5xx, e.g. 404 or 500). By
     * default this is <b>false</b>; an IOException is thrown if an error is encountered. If set to <b>true</b>, the
     * response is populated with the error body, and the status message will reflect the error.
     * @param ignoreHttpErrors - false (default) if HTTP errors should be ignored.
     * @return this Connection, for chaining
     */",Connection ignoreHttpErrors(boolean ignoreHttpErrors);
org.jsoup.Connection,ignoreContentType(boolean ignoreContentType),"/**
     * Ignore the document's Content-Type when parsing the response. By default this is <b>false</b>, an unrecognised
     * content-type will cause an IOException to be thrown. (This is to prevent producing garbage by attempting to parse
     * a JPEG binary image, for example.) Set to true to force a parse attempt regardless of content type.
     * @param ignoreContentType set to true if you would like the content type ignored on parsing the response into a
     * Document.
     * @return this Connection, for chaining
     */",Connection ignoreContentType(boolean ignoreContentType);
org.jsoup.Connection,sslSocketFactory(SSLSocketFactory sslSocketFactory),"/**
     * Set custom SSL socket factory
     * @param sslSocketFactory custom SSL socket factory
     * @return this Connection, for chaining
     */",Connection sslSocketFactory(SSLSocketFactory sslSocketFactory);
org.jsoup.Connection,"data(String key, String value)","/**
     * Add a request data parameter. Request parameters are sent in the request query string for GETs, and in the
     * request body for POSTs. A request may have multiple values of the same name.
     * @param key data key
     * @param value data value
     * @return this Connection, for chaining
     */","Connection data(String key, String value);"
org.jsoup.Connection,"data(String key, String filename, InputStream inputStream)","/**
     * Add an input stream as a request data parameter. For GETs, has no effect, but for POSTS this will upload the
     * input stream.
     * @param key data key (form item name)
     * @param filename the name of the file to present to the remove server. Typically just the name, not path,
     * component.
     * @param inputStream the input stream to upload, that you probably obtained from a {@link java.io.FileInputStream}.
     * You must close the InputStream in a {@code finally} block.
     * @return this Connections, for chaining
     * @see #data(String, String, InputStream, String) if you want to set the uploaded file's mimetype.
     */","Connection data(String key, String filename, InputStream inputStream);"
org.jsoup.Connection,"data(String key, String filename, InputStream inputStream, String contentType)","/**
     * Add an input stream as a request data parameter. For GETs, has no effect, but for POSTS this will upload the
     * input stream.
     * @param key data key (form item name)
     * @param filename the name of the file to present to the remove server. Typically just the name, not path,
     * component.
     * @param inputStream the input stream to upload, that you probably obtained from a {@link java.io.FileInputStream}.
     * @param contentType the Content Type (aka mimetype) to specify for this file.
     * You must close the InputStream in a {@code finally} block.
     * @return this Connections, for chaining
     */","Connection data(String key, String filename, InputStream inputStream, String contentType);"
org.jsoup.Connection,data(Collection<KeyVal> data),"/**
     * Adds all of the supplied data to the request data parameters
     * @param data collection of data parameters
     * @return this Connection, for chaining
     */",Connection data(Collection<KeyVal> data);
org.jsoup.Connection,"data(Map<String, String> data)","/**
     * Adds all of the supplied data to the request data parameters
     * @param data map of data parameters
     * @return this Connection, for chaining
     */","Connection data(Map<String, String> data);"
org.jsoup.Connection,data(String... keyvals),"/**
     Add one or more request {@code key, val} data parameter pairs.<p>Multiple parameters may be set at once, e.g.:
     <code>.data(""name"", ""jsoup"", ""language"", ""Java"", ""language"", ""English"");</code> creates a query string like:
     <code>{@literal ?name=jsoup&language=Java&language=English}</code></p>
     <p>For GET requests, data parameters will be sent on the request query string. For POST (and other methods that
     contain a body), they will be sent as body form parameters, unless the body is explicitly set by {@link
    #requestBody(String)}, in which case they will be query string parameters.</p>

     @param keyvals a set of key value pairs.
     @return this Connection, for chaining
     */",Connection data(String... keyvals);
org.jsoup.Connection,data(String key),"/**
     * Get the data KeyVal for this key, if any
     * @param key the data key
     * @return null if not set
     */",@Nullable KeyVal data(String key);
org.jsoup.Connection,requestBody(String body),"/**
     * Set a POST (or PUT) request body. Useful when a server expects a plain request body, not a set for URL
     * encoded form key/value pairs. E.g.:
     * <code><pre>Jsoup.connect(url)
     * .requestBody(json)
     * .header(""Content-Type"", ""application/json"")
     * .post();</pre></code>
     * If any data key/vals are supplied, they will be sent as URL query params.
     * @return this Request, for chaining
     */",Connection requestBody(String body);
org.jsoup.Connection,"header(String name, String value)","/**
     * Set a request header.
     * @param name header name
     * @param value header value
     * @return this Connection, for chaining
     * @see org.jsoup.Connection.Request#headers()
     */","Connection header(String name, String value);"
org.jsoup.Connection,"headers(Map<String,String> headers)","/**
     * Adds each of the supplied headers to the request.
     * @param headers map of headers name {@literal ->} value pairs
     * @return this Connection, for chaining
     * @see org.jsoup.Connection.Request#headers()
     */","Connection headers(Map<String,String> headers);"
org.jsoup.Connection,"cookie(String name, String value)","/**
     * Set a cookie to be sent in the request.
     * @param name name of cookie
     * @param value value of cookie
     * @return this Connection, for chaining
     */","Connection cookie(String name, String value);"
org.jsoup.Connection,"cookies(Map<String, String> cookies)","/**
     * Adds each of the supplied cookies to the request.
     * @param cookies map of cookie name {@literal ->} value pairs
     * @return this Connection, for chaining
     */","Connection cookies(Map<String, String> cookies);"
org.jsoup.Connection,cookieStore(CookieStore cookieStore),"/**
     Provide a custom or pre-filled CookieStore to be used on requests made by this Connection.
     @param cookieStore a cookie store to use for subsequent requests
     @return this Connection, for chaining
     @since 1.14.1
     */",Connection cookieStore(CookieStore cookieStore);
org.jsoup.Connection,cookieStore(),"/**
     Get the cookie store used by this Connection.
     @return the cookie store
     @since 1.14.1
     */",CookieStore cookieStore();
org.jsoup.Connection,parser(Parser parser),"/**
     * Provide an alternate parser to use when parsing the response to a Document. If not set, defaults to the HTML
     * parser, unless the response content-type is XML, in which case the XML parser is used.
     * @param parser alternate parser
     * @return this Connection, for chaining
     */",Connection parser(Parser parser);
org.jsoup.Connection,postDataCharset(String charset),"/**
     * Sets the default post data character set for x-www-form-urlencoded post data
     * @param charset character set to encode post data
     * @return this Connection, for chaining
     */",Connection postDataCharset(String charset);
org.jsoup.Connection,get(),"/**
     * Execute the request as a GET, and parse the result.
     * @return parsed Document
     * @throws java.net.MalformedURLException if the request URL is not a HTTP or HTTPS URL, or is otherwise malformed
     * @throws HttpStatusException if the response is not OK and HTTP response errors are not ignored
     * @throws UnsupportedMimeTypeException if the response mime type is not supported and those errors are not ignored
     * @throws java.net.SocketTimeoutException if the connection times out
     * @throws IOException on error
     */",Document get() throws IOException;
org.jsoup.Connection,post(),"/**
     * Execute the request as a POST, and parse the result.
     * @return parsed Document
     * @throws java.net.MalformedURLException if the request URL is not a HTTP or HTTPS URL, or is otherwise malformed
     * @throws HttpStatusException if the response is not OK and HTTP response errors are not ignored
     * @throws UnsupportedMimeTypeException if the response mime type is not supported and those errors are not ignored
     * @throws java.net.SocketTimeoutException if the connection times out
     * @throws IOException on error
     */",Document post() throws IOException;
org.jsoup.Connection,execute(),"/**
     * Execute the request.
     * @return a response object
     * @throws java.net.MalformedURLException if the request URL is not a HTTP or HTTPS URL, or is otherwise malformed
     * @throws HttpStatusException if the response is not OK and HTTP response errors are not ignored
     * @throws UnsupportedMimeTypeException if the response mime type is not supported and those errors are not ignored
     * @throws java.net.SocketTimeoutException if the connection times out
     * @throws IOException on error
     */",Response execute() throws IOException;
org.jsoup.Connection,request(),"/**
     * Get the request object associated with this connection
     * @return request
     */",Request request();
org.jsoup.Connection,request(Request request),"/**
     * Set the connection's request
     * @param request new request object
     * @return this Connection, for chaining
     */",Connection request(Request request);
org.jsoup.Connection,response(),"/**
     * Get the response, once the request has been executed.
     * @return response
     * @throws IllegalArgumentException if called before the response has been executed.
     */",Response response();
org.jsoup.Connection,response(Response response),"/**
     * Set the connection's response
     * @param response new response
     * @return this Connection, for chaining
     */",Connection response(Response response);
org.jsoup.Connection.Base,url(),"/**
         * Get the URL of this Request or Response. For redirected responses, this will be the final destination URL.
         * @return URL
         * @throws IllegalArgumentException if called on a Request that was created without a URL.
         */",URL url();
org.jsoup.Connection.Base,url(URL url),"/**
         * Set the URL
         * @param url new URL
         * @return this, for chaining
         */",T url(URL url);
org.jsoup.Connection.Base,method(),"/**
         * Get the request method, which defaults to <code>GET</code>
         * @return method
         */",Method method();
org.jsoup.Connection.Base,method(Method method),"/**
         * Set the request method
         * @param method new method
         * @return this, for chaining
         */",T method(Method method);
org.jsoup.Connection.Base,header(String name),"/**
         * Get the value of a header. If there is more than one header value with the same name, the headers are returned
         * comma seperated, per <a href=""https://www.w3.org/Protocols/rfc2616/rfc2616-sec4.html#sec4.2"">rfc2616-sec4</a>.
         * <p>
         * Header names are case insensitive.
         * </p>
         * @param name name of header (case insensitive)
         * @return value of header, or null if not set.
         * @see #hasHeader(String)
         * @see #cookie(String)
         */",@Nullable String header(String name);
org.jsoup.Connection.Base,headers(String name),"/**
         * Get the values of a header.
         * @param name header name, case insensitive.
         * @return a list of values for this header, or an empty list if not set.
         */",List<String> headers(String name);
org.jsoup.Connection.Base,"header(String name, String value)","/**
         * Set a header. This method will overwrite any existing header with the same case insensitive name. (If there
         * is more than one value for this header, this method will update the first matching header.
         * @param name Name of header
         * @param value Value of header
         * @return this, for chaining
         * @see #addHeader(String, String)
         */","T header(String name, String value);"
org.jsoup.Connection.Base,"addHeader(String name, String value)","/**
         * Add a header. The header will be added regardless of whether a header with the same name already exists.
         * @param name Name of new header
         * @param value Value of new header
         * @return this, for chaining
         */","T addHeader(String name, String value);"
org.jsoup.Connection.Base,hasHeader(String name),"/**
         * Check if a header is present
         * @param name name of header (case insensitive)
         * @return if the header is present in this request/response
         */",boolean hasHeader(String name);
org.jsoup.Connection.Base,"hasHeaderWithValue(String name, String value)","/**
         * Check if a header is present, with the given value
         * @param name header name (case insensitive)
         * @param value value (case insensitive)
         * @return if the header and value pair are set in this req/res
         */","boolean hasHeaderWithValue(String name, String value);"
org.jsoup.Connection.Base,removeHeader(String name),"/**
         * Remove headers by name. If there is more than one header with this name, they will all be removed.
         * @param name name of header to remove (case insensitive)
         * @return this, for chaining
         */",T removeHeader(String name);
org.jsoup.Connection.Base,headers(),"/**
         * Retrieve all of the request/response header names and corresponding values as a map. For headers with multiple
         * values, only the first header is returned.
         * <p>Note that this is a view of the headers only, and changes made to this map will not be reflected in the
         * request/response object.</p>
         * @return headers
         * @see #multiHeaders()

         */","Map<String, String> headers();"
org.jsoup.Connection.Base,multiHeaders(),"/**
         * Retreive all of the headers, keyed by the header name, and with a list of values per header.
         * @return a list of multiple values per header.
         */","Map<String, List<String>> multiHeaders();"
org.jsoup.Connection.Base,cookie(String name),"/**
         * Get a cookie value by name from this request/response.
         * <p>
         * Response objects have a simplified cookie model. Each cookie set in the response is added to the response
         * object's cookie key=value map. The cookie's path, domain, and expiry date are ignored.
         * </p>
         * @param name name of cookie to retrieve.
         * @return value of cookie, or null if not set
         */",@Nullable String cookie(String name);
org.jsoup.Connection.Base,"cookie(String name, String value)","/**
         * Set a cookie in this request/response.
         * @param name name of cookie
         * @param value value of cookie
         * @return this, for chaining
         */","T cookie(String name, String value);"
org.jsoup.Connection.Base,hasCookie(String name),"/**
         * Check if a cookie is present
         * @param name name of cookie
         * @return if the cookie is present in this request/response
         */",boolean hasCookie(String name);
org.jsoup.Connection.Base,removeCookie(String name),"/**
         * Remove a cookie by name
         * @param name name of cookie to remove
         * @return this, for chaining
         */",T removeCookie(String name);
org.jsoup.Connection.Base,cookies(),"/**
         * Retrieve all of the request/response cookies as a map
         * @return cookies
         */","Map<String, String> cookies();"
org.jsoup.Connection.Request,proxy(),"/**
         * Get the proxy used for this request.
         * @return the proxy; <code>null</code> if not enabled.
         */",@Nullable Proxy proxy();
org.jsoup.Connection.Request,proxy(@Nullable Proxy proxy),"/**
         * Update the proxy for this request.
         * @param proxy the proxy ot use; <code>null</code> to disable.
         * @return this Request, for chaining
         */",Request proxy(@Nullable Proxy proxy);
org.jsoup.Connection.Request,"proxy(String host, int port)","/**
         * Set the HTTP proxy to use for this request.
         * @param host the proxy hostname
         * @param port the proxy port
         * @return this Connection, for chaining
         */","Request proxy(String host, int port);"
org.jsoup.Connection.Request,timeout(),"/**
         * Get the request timeout, in milliseconds.
         * @return the timeout in milliseconds.
         */",int timeout();
org.jsoup.Connection.Request,timeout(int millis),"/**
         * Update the request timeout.
         * @param millis timeout, in milliseconds
         * @return this Request, for chaining
         */",Request timeout(int millis);
org.jsoup.Connection.Request,maxBodySize(),"/**
         * Get the maximum body size, in bytes.
         * @return the maximum body size, in bytes.
         */",int maxBodySize();
org.jsoup.Connection.Request,maxBodySize(int bytes),"/**
         * Update the maximum body size, in bytes.
         * @param bytes maximum body size, in bytes.
         * @return this Request, for chaining
         */",Request maxBodySize(int bytes);
org.jsoup.Connection.Request,followRedirects(),"/**
         * Get the current followRedirects configuration.
         * @return true if followRedirects is enabled.
         */",boolean followRedirects();
org.jsoup.Connection.Request,followRedirects(boolean followRedirects),"/**
         * Configures the request to (not) follow server redirects. By default this is <b>true</b>.
         * @param followRedirects true if server redirects should be followed.
         * @return this Request, for chaining
         */",Request followRedirects(boolean followRedirects);
org.jsoup.Connection.Request,ignoreHttpErrors(),"/**
         * Get the current ignoreHttpErrors configuration.
         * @return true if errors will be ignored; false (default) if HTTP errors will cause an IOException to be
         * thrown.
         */",boolean ignoreHttpErrors();
org.jsoup.Connection.Request,ignoreHttpErrors(boolean ignoreHttpErrors),"/**
         * Configures the request to ignore HTTP errors in the response.
         * @param ignoreHttpErrors set to true to ignore HTTP errors.
         * @return this Request, for chaining
         */",Request ignoreHttpErrors(boolean ignoreHttpErrors);
org.jsoup.Connection.Request,ignoreContentType(),"/**
         * Get the current ignoreContentType configuration.
         * @return true if invalid content-types will be ignored; false (default) if they will cause an IOException to
         * be thrown.
         */",boolean ignoreContentType();
org.jsoup.Connection.Request,ignoreContentType(boolean ignoreContentType),"/**
         * Configures the request to ignore the Content-Type of the response.
         * @param ignoreContentType set to true to ignore the content type.
         * @return this Request, for chaining
         */",Request ignoreContentType(boolean ignoreContentType);
org.jsoup.Connection.Request,sslSocketFactory(),"/**
         * Get the current custom SSL socket factory, if any.
         * @return custom SSL socket factory if set, null otherwise
         */",@Nullable SSLSocketFactory sslSocketFactory();
org.jsoup.Connection.Request,void sslSocketFactory(SSLSocketFactory sslSocketFactory),"/**
         * Set a custom SSL socket factory.
         * @param sslSocketFactory SSL socket factory
         */",void sslSocketFactory(SSLSocketFactory sslSocketFactory);
org.jsoup.Connection.Request,data(KeyVal keyval),"/**
         * Add a data parameter to the request
         * @param keyval data to add.
         * @return this Request, for chaining
         */",Request data(KeyVal keyval);
org.jsoup.Connection.Request,data(),"/**
         * Get all of the request's data parameters
         * @return collection of keyvals
         */",Collection<KeyVal> data();
org.jsoup.Connection.Request,requestBody(@Nullable String body),"/**
         * Set a POST (or PUT) request body. Useful when a server expects a plain request body, not a set for URL
         * encoded form key/value pairs. E.g.:
         * <code><pre>Jsoup.connect(url)
         * .requestBody(json)
         * .header(""Content-Type"", ""application/json"")
         * .post();</pre></code>
         * If any data key/vals are supplied, they will be sent as URL query params.
         * @param body to use as the request body. Set to null to clear a previously set body.
         * @return this Request, for chaining
         */",Request requestBody(@Nullable String body);
org.jsoup.Connection.Request,requestBody(),"/**
         * Get the current request body.
         * @return null if not set.
         */",@Nullable String requestBody();
org.jsoup.Connection.Request,parser(Parser parser),"/**
         * Specify the parser to use when parsing the document.
         * @param parser parser to use.
         * @return this Request, for chaining
         */",Request parser(Parser parser);
org.jsoup.Connection.Request,parser(),"/**
         * Get the current parser to use when parsing the document.
         * @return current Parser
         */",Parser parser();
org.jsoup.Connection.Request,postDataCharset(String charset),"/**
         * Sets the post data character set for x-www-form-urlencoded post data
         * @param charset character set to encode post data
         * @return this Request, for chaining
         */",Request postDataCharset(String charset);
org.jsoup.Connection.Request,postDataCharset(),"/**
         * Gets the post data character set for x-www-form-urlencoded post data
         * @return character set to encode post data
         */",String postDataCharset();
org.jsoup.Connection.Response,statusCode(),"/**
         * Get the status code of the response.
         * @return status code
         */",int statusCode();
org.jsoup.Connection.Response,statusMessage(),"/**
         * Get the status message of the response.
         * @return status message
         */",String statusMessage();
org.jsoup.Connection.Response,charset(),"/**
         * Get the character set name of the response, derived from the content-type header.
         * @return character set name if set, <b>null</b> if not
         */",@Nullable String charset();
org.jsoup.Connection.Response,charset(String charset),"/**
         * Set / override the response character set. When the document body is parsed it will be with this charset.
         * @param charset to decode body as
         * @return this Response, for chaining
         */",Response charset(String charset);
org.jsoup.Connection.Response,contentType(),"/**
         * Get the response content type (e.g. ""text/html"");
         * @return the response content type, or <b>null</b> if one was not set
         */",@Nullable String contentType();
org.jsoup.Connection.Response,parse(),"/**
         * Read and parse the body of the response as a Document. If you intend to parse the same response multiple
         * times, you should {@link #bufferUp()} first.
         * @return a parsed Document
         * @throws IOException on error
         */",Document parse() throws IOException;
org.jsoup.Connection.Response,body(),"/**
         * Get the body of the response as a plain string.
         * @return body
         */",String body();
org.jsoup.Connection.Response,bodyAsBytes(),"/**
         * Get the body of the response as an array of bytes.
         * @return body bytes
         */",byte[] bodyAsBytes();
org.jsoup.Connection.Response,bufferUp(),"/**
         * Read the body of the response into a local buffer, so that {@link #parse()} may be called repeatedly on the
         * same connection response (otherwise, once the response is read, its InputStream will have been drained and
         * may not be re-read). Calling {@link #body() } or {@link #bodyAsBytes()} has the same effect.
         * @return this response, for chaining
         * @throws UncheckedIOException if an IO exception occurs during buffering.
         */",Response bufferUp();
org.jsoup.Connection.Response,bodyStream(),"/**
         * Get the body of the response as a (buffered) InputStream. You should close the input stream when you're done with it.
         * Other body methods (like bufferUp, body, parse, etc) will not work in conjunction with this method.
         * <p>This method is useful for writing large responses to disk, without buffering them completely into memory first.</p>
         * @return the response body input stream
         */",BufferedInputStream bodyStream();
org.jsoup.Connection.KeyVal,key(String key),"/**
         * Update the key of a keyval
         * @param key new key
         * @return this KeyVal, for chaining
         */",KeyVal key(String key);
org.jsoup.Connection.KeyVal,key(),"/**
         * Get the key of a keyval
         * @return the key
         */",String key();
org.jsoup.Connection.KeyVal,value(String value),"/**
         * Update the value of a keyval
         * @param value the new value
         * @return this KeyVal, for chaining
         */",KeyVal value(String value);
org.jsoup.Connection.KeyVal,value(),"/**
         * Get the value of a keyval
         * @return the value
         */",String value();
org.jsoup.Connection.KeyVal,inputStream(InputStream inputStream),"/**
         * Add or update an input stream to this keyVal
         * @param inputStream new input stream
         * @return this KeyVal, for chaining
         */",KeyVal inputStream(InputStream inputStream);
org.jsoup.Connection.KeyVal,inputStream(),"/**
         * Get the input stream associated with this keyval, if any
         * @return input stream if set, or null
         */",@Nullable InputStream inputStream();
org.jsoup.Connection.KeyVal,hasInputStream(),"/**
         * Does this keyval have an input stream?
         * @return true if this keyval does indeed have an input stream
         */",boolean hasInputStream();
org.jsoup.Connection.KeyVal,contentType(String contentType),"/**
         * Set the Content Type header used in the MIME body (aka mimetype) when uploading files.
         * Only useful if {@link #inputStream(InputStream)} is set.
         * <p>Will default to {@code application/octet-stream}.</p>
         * @param contentType the new content type
         * @return this KeyVal
         */",KeyVal contentType(String contentType);
org.jsoup.Connection.KeyVal,contentType(),"/**
         * Get the current Content Type, or {@code null} if not set.
         * @return the current Content Type.
         */",@Nullable String contentType();
org.jsoup.Jsoup,"parse(String html, String baseUri)","/**
     Parse HTML into a Document. The parser will make a sensible, balanced document tree out of any HTML.

     @param html    HTML to parse
     @param baseUri The URL where the HTML was retrieved from. Used to resolve relative URLs to absolute URLs, that occur
     before the HTML declares a {@code <base href>} tag.
     @return sane HTML
     */","public static Document parse(String html, String baseUri) {
        return Parser.parse(html, baseUri);
    }"
org.jsoup.Jsoup,"parse(String html, String baseUri, Parser parser)","/**
     Parse HTML into a Document, using the provided Parser. You can provide an alternate parser, such as a simple XML
     (non-HTML) parser.

     @param html    HTML to parse
     @param baseUri The URL where the HTML was retrieved from. Used to resolve relative URLs to absolute URLs, that occur
     before the HTML declares a {@code <base href>} tag.
     @param parser alternate {@link Parser#xmlParser() parser} to use.
     @return sane HTML
     */","public static Document parse(String html, String baseUri, Parser parser) {
        return parser.parseInput(html, baseUri);
    }"
org.jsoup.Jsoup,"parse(String html, Parser parser)","/**
     Parse HTML into a Document, using the provided Parser. You can provide an alternate parser, such as a simple XML
     (non-HTML) parser.  As no base URI is specified, absolute URL resolution, if required, relies on the HTML including
     a {@code <base href>} tag.

     @param html    HTML to parse
     before the HTML declares a {@code <base href>} tag.
     @param parser alternate {@link Parser#xmlParser() parser} to use.
     @return sane HTML
     */","public static Document parse(String html, Parser parser) {
        return parser.parseInput(html, """");
    }"
org.jsoup.Jsoup,parse(String html),"/**
     Parse HTML into a Document. As no base URI is specified, absolute URL resolution, if required, relies on the HTML
     including a {@code <base href>} tag.

     @param html HTML to parse
     @return sane HTML

     @see #parse(String, String)
     */","public static Document parse(String html) {
        return Parser.parse(html, """");
    }"
org.jsoup.Jsoup,connect(String url),"/**
     * Creates a new {@link Connection} (session), with the defined request URL. Use to fetch and parse a HTML page.
     * <p>
     * Use examples:
     * <ul>
     *  <li><code>Document doc = Jsoup.connect(""http://example.com"").userAgent(""Mozilla"").data(""name"", ""jsoup"").get();</code></li>
     *  <li><code>Document doc = Jsoup.connect(""http://example.com"").cookie(""auth"", ""token"").post();</code></li>
     * </ul>
     * @param url URL to connect to. The protocol must be {@code http} or {@code https}.
     * @return the connection. You can add data, cookies, and headers; set the user-agent, referrer, method; and then execute.
     * @see #newSession()
     * @see Connection#newRequest()
     */","public static Connection connect(String url) {
        return HttpConnection.connect(url);
    }"
org.jsoup.Jsoup,newSession(),"/**
     Creates a new {@link Connection} to use as a session. Connection settings (user-agent, timeouts, URL, etc), and
     cookies will be maintained for the session. Use examples:
<pre><code>
Connection session = Jsoup.newSession()
     .timeout(20 * 1000)
     .userAgent(""FooBar 2000"");

Document doc1 = session.newRequest()
     .url(""https://jsoup.org/"").data(""ref"", ""example"")
     .get();
Document doc2 = session.newRequest()
     .url(""https://en.wikipedia.org/wiki/Main_Page"")
     .get();
Connection con3 = session.newRequest();
</code></pre>

     <p>For multi-threaded requests, it is safe to use this session between threads, but take care to call {@link
    Connection#newRequest()} per request and not share that instance between threads when executing or parsing.</p>

     @return a connection
     @since 1.14.1
     */","public static Connection newSession() {
        return new HttpConnection();
    }"
org.jsoup.Jsoup,"parse(File file, @Nullable String charsetName, String baseUri)","/**
     Parse the contents of a file as HTML.

     @param file          file to load HTML from. Supports gzipped files (ending in .z or .gz).
     @param charsetName (optional) character set of file contents. Set to {@code null} to determine from {@code http-equiv} meta tag, if
     present, or fall back to {@code UTF-8} (which is often safe to do).
     @param baseUri     The URL where the HTML was retrieved from, to resolve relative links against.
     @return sane HTML

     @throws IOException if the file could not be found, or read, or if the charsetName is invalid.
     */","public static Document parse(File file, @Nullable String charsetName, String baseUri) throws IOException {
        return DataUtil.load(file, charsetName, baseUri);
    }"
org.jsoup.Jsoup,"parse(File file, @Nullable String charsetName)","/**
     Parse the contents of a file as HTML. The location of the file is used as the base URI to qualify relative URLs.

     @param file        file to load HTML from. Supports gzipped files (ending in .z or .gz).
     @param charsetName (optional) character set of file contents. Set to {@code null} to determine from {@code http-equiv} meta tag, if
     present, or fall back to {@code UTF-8} (which is often safe to do).
     @return sane HTML

     @throws IOException if the file could not be found, or read, or if the charsetName is invalid.
     @see #parse(File, String, String) parse(file, charset, baseUri)
     */","public static Document parse(File file, @Nullable String charsetName) throws IOException {
        return DataUtil.load(file, charsetName, file.getAbsolutePath());
    }"
org.jsoup.Jsoup,parse(File file),"/**
     Parse the contents of a file as HTML. The location of the file is used as the base URI to qualify relative URLs.
     The charset used to read the file will be determined by the byte-order-mark (BOM), or a {@code <meta charset>} tag,
     or if neither is present, will be {@code UTF-8}.

     <p>This is the equivalent of calling {@link #parse(File, String) parse(file, null)}</p>

     @param file the file to load HTML from. Supports gzipped files (ending in .z or .gz).
     @return sane HTML
     @throws IOException if the file could not be found or read.
     @see #parse(File, String, String) parse(file, charset, baseUri)
     @since 1.15.1
     */","public static Document parse(File file) throws IOException {
        return DataUtil.load(file, null, file.getAbsolutePath());
    }"
org.jsoup.Jsoup,"parse(File file, @Nullable String charsetName, String baseUri, Parser parser)","/**
     Parse the contents of a file as HTML.

     @param file          file to load HTML from. Supports gzipped files (ending in .z or .gz).
     @param charsetName (optional) character set of file contents. Set to {@code null} to determine from {@code http-equiv} meta tag, if
     present, or fall back to {@code UTF-8} (which is often safe to do).
     @param baseUri     The URL where the HTML was retrieved from, to resolve relative links against.
     @param parser alternate {@link Parser#xmlParser() parser} to use.
     @return sane HTML

     @throws IOException if the file could not be found, or read, or if the charsetName is invalid.
     @since 1.14.2
     */","public static Document parse(File file, @Nullable String charsetName, String baseUri, Parser parser) throws IOException {
        return DataUtil.load(file, charsetName, baseUri, parser);
    }"
